"source","citation","hypothesis","method_dataset","findings","self_declared_limitations","unanswered_gaps","contradictions","transfer_conditions","reading_pass","access_status","url","date"
"Braintrust","Braintrust. Compare experiments. Live documentation.","Explicit baselines and paired drilldowns can shorten regression triage.","Product documentation. No AI Labs usability experiment.","Baseline comparison, expandable trials, regression filters and side-by-side diffs are documented.","Trace-level comparison required. Field diffs have a documented character limit.","Does comparison eligibility remain understandable across native harness versions?","Automatic latest-branch baseline is unsuitable for a fixed scientific control.","Match immutable task/world/harness/model/settings before displaying deltas.","Documentation sections","sections_read","https://www.braintrust.dev/docs/evaluate/compare-experiments","2026-09-08"
"Inspect","UK AI Security Institute. Log Viewer. Live documentation.","An outcome-to-trace drilldown can preserve context when diagnosing a failed task.","Viewer documentation and repository MIT license.","History, live samples, messages, grading and metadata can be inspected.","Network exposure has authorization and trusted-origin requirements.","Can AI Labs link every finding to stable event/check identifiers?","No contradiction established.","Adapt viewer concepts without replacing the native competitor harness.","Documentation sections","sections_read","https://inspect.aisi.org.uk/log-viewer.html","2026-09-08"
"React Flow","xyflow. Accessibility. Live documentation.","Typed graph composition with keyboard alternatives can reduce editing mistakes.","Component documentation and repository MIT license.","Keyboard navigation and screen-reader support are available.","Application-specific labels and custom interactions still need configuration.","What accessible non-spatial view covers all editor actions?","No contradiction established.","Use core primitives with a validated AI Labs component schema.","Documentation sections","sections_read","https://reactflow.dev/learn/advanced-use/accessibility","2026-09-08"
"React Flow Workflow Editor","xyflow. Workflow Editor and Undo and Redo. Updated August 24 2026.","A palette, dominant canvas and inspector can provide a coherent editor.","Template documentation. No template source imported.","Automatic layout, custom nodes and sequential runner are documented.","Workflow template is Pro. Undo example identifies xyflow Pro License.","Which functions should be implemented against MIT core?","Core MIT does not imply Pro template reuse rights.","Separate template runner from durable runtime and obtain required source rights before porting.","Documentation sections","sections_read","https://reactflow.dev/ui/templates/workflow-editor","2026-09-08"
"Langfuse","Langfuse. Experiments via UI. Live documentation.","A shared experiment/trace model can connect development runs to evidence.","Product documentation and scoped MIT license.","Prompt experiments use dataset mappings and evaluator setup. Full agents use SDK or webhook routes.","Prompt-only UI cannot execute arbitrary full agent configuration.","Can existing trace IDs be preserved across versioned AI Labs runs?","Prompt experiment path differs from native harness evaluation requirement.","Use full application instrumentation and preserve evaluation isolation.","Documentation sections","sections_read","https://langfuse.com/docs/evaluation/experiments/experiments-via-ui","2026-09-08"
"Phoenix","Arize. Phoenix repository and experiment client API. Live documentation.","Explicit repetitions and trace links can improve comparison auditability.","Repository overview, experiment API and ELv2 license.","Experiment records include dataset examples, repetitions, timing, trace IDs and errors.","ELv2 includes restrictions on providing substantial functionality as a hosted service.","Which evidence fields can be adopted without a whole-platform dependency?","No contradiction established.","Treat as schema reference unless licensing and deployment fit are separately resolved.","Documentation sections","sections_read","https://github.com/arize-ai/phoenix","2026-09-08"
"Geist","Vercel. Geist Design System. Live documentation.","Developer typography and restrained hierarchy can convey CLI character in a light UI.","Design documentation, color reference and OFL font license.","Developer-oriented components, high-contrast color roles and sans/mono type are documented.","No relevant product study or application component license established in inspected page.","Does mono for measurements improve scanning without hurting prose?","No contradiction established.","Preserve incumbent light defaults and readable body type.","Documentation sections","sections_read","https://vercel.com/geist/introduction","2026-09-08"
"Grafana","Grafana Labs. Time series. Live documentation.","Shared tooltips and tabular legends can make multi-series costs inspectable.","Chart documentation and AGPLv3 repository license.","Bars, time zoom, series selection and legend totals are available.","Repeated timestamps within a series may affect display.","Which recorded billing categories have sufficient completeness for stacked charts?","No contradiction established.","Use chart patterns with exact cost coverage and declared timezone.","Documentation sections","sections_read","https://grafana.com/docs/grafana/latest/visualizations/panels-visualizations/visualizations/time-series/","2026-09-08"
"AppWorld","Trivedi et al. AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents. 2024.","Checking final state and collateral changes can improve business-task validity.","Abstract describes 750 tasks across 9 apps and 457 APIs.","State-based checks permit alternate successful approaches while detecting unwanted changes.","Not assessed. Abstract-only reading does not establish authors' full limitations.","Read full methods and checker construction before adapting evaluation logic.","No contradiction assessed at abstract depth.","Transfer state-checking principle, not historical model scores as current performance.","Abstract only","abstract_read","https://arxiv.org/abs/2407.18901","2026-09-08"
"Tau-bench","Yao et al. Tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains. 2024.","Repeated-trial reliability should be separate from first-attempt completion.","Abstract describes simulated user interactions, APIs and final database-state evaluation.","Pass^k addresses repeated reliability.","Not assessed. Abstract-only reading does not establish authors' full limitations.","Read full estimator and simulation policy before metric implementation.","No contradiction assessed at abstract depth.","Keep assisted and unattended task conditions separate.","Abstract only","abstract_read","https://arxiv.org/abs/2406.12045","2026-09-08"
